产品id,产品名称,产品链接
A0000001,,http://tv.sohu.com/s2012/lmbj/
A0000006,,http://tv.sohu.com/s2012/xbb/
A0000013,,http://tv.sohu.com/s2012/xvrg/
A0000031,,http://tv.sohu.com/s2012/tzydxs/
A0000054,,http://tv.sohu.com/s2013/xzmm/
A0000062,,http://tv.sohu.com/s2013/zcs/
A0000064,,http://tv.sohu.com/s2014/bpwzs/
A0000065,,http://tv.sohu.com/s2014/zzccnn/
A0000073,,http://tv.sohu.com/s2013/jyly/
A0000074,,http://tv.sohu.com/s2012/dmy/
A0000077,,http://tv.sohu.com/s2014/dzfdsj/index.shtml
A0000081,,http://tv.sohu.com/s2012/bbjx2/
A0000098,,http://tv.sohu.com/s2014/dsjygdx/
A0000113,,http://tv.sohu.com/s2014/qzdmmwsb/
A0000119,,http://tv.sohu.com/s2014/dsjdecrswsj/
A0000122,,http://tv.sohu.com/s2014/langyabang/
A0000124,,http://tv.sohu.com/s2015/wzz/
A0000127,,http://tv.sohu.com/s2015/dsjwxfs/
A0000130,,http://tv.sohu.com/s2015/pfdsj/
A0000132,,http://tv.sohu.com/s2015/hmmb/
A0000134,,http://tv.sohu.com/s2015/kllr/
A0000138,,http://tv.sohu.com/s2015/diorsman4/
A0000141,,http://tv.sohu.com/s2013/dhqyzyzg/
A0000149,,http://tv.sohu.com/s2013/snsdmb/
A0000150,,http://tv.sohu.com/s2014/dsjppxhn/
A0000152,,http://tv.sohu.com/s2015/zzchdnrwsj/
A0000156,,http://tv.sohu.com/s2015/dyg/
A0000159,,http://tv.sohu.com/s2015/mldmm/
A0000161,,http://tv.sohu.com/s2015/zjqny/
A0000162,,http://tv.sohu.com/s2016/ndqtlbur/
A0000165,,http://tv.sohu.com/s2013/lxfyhml/
A0000168,,http://tv.sohu.com/s2014/dsjlsh/
A0000172,,http://tv.sohu.com/s2015/sqxq/
A0000174,,http://tv.sohu.com/s2015/dsjmrxxi/
A0000178,,http://tv.sohu.com/s2015/sgnb/
A0000190,,http://tv.sohu.com/s2016/fyqm/
A0000193,,http://tv.sohu.com/s2015/jmaque/
A0000196,,http://tv.sohu.com/s2015/hxs/
A0000197,,http://tv.sohu.com/s2014/nymfz/
A0000198,,http://tv.sohu.com/s2015/dsjxbl/
A0000200,,http://tv.sohu.com/s2016/hcdsj/
A0000202,,http://tv.sohu.com/s2015/jbyz/
A0000203,,http://tv.sohu.com/s2016/dsjfqwzjw/
A0000205,,http://tv.sohu.com/s2015/jmcw/
A0000206,,http://tv.sohu.com/s2016/nnqcwmzh/
A0000207,,http://tv.sohu.com/s2015/myprincess/
A0000208,,http://tv.sohu.com/s2016/zgsgx/
A0000213,,http://tv.sohu.com/s2015/qhcs/
A0000218,,http://tv.sohu.com/s2016/bsgyrxxaqwsb/
A0000225,,http://tv.sohu.com/s2016/xljszcgx/
A0000226,,http://tv.sohu.com/s2016/dsjjm/
A0000227,,http://tv.sohu.com/s2016/mrsfczydcqwsjb/
A0000228,,http://tv.sohu.com/s2016/dsjwszzlwsj/
A0000231,,http://tv.sohu.com/s2017/dsjslwd/
A0000239,,http://tv.sohu.com/s2015/mlbxj/
A0000241,,http://tv.sohu.com/s2015/zfst/
A0000243,,http://tv.sohu.com/s2016/dsjtghfcqz/
A0000244,,https://tv.sohu.com/s2016/rmdmy/
A0000245,,http://tv.sohu.com/s2016/ztj/
A0000246,,http://tv.sohu.com/s2016/jbhls2/
A0000253,,https://tv.sohu.com/s2017/rjzwsqh/
A0000254,,https://tv.sohu.com/s2016/pldlhz/
A0000255,,http://tv.sohu.com/s2016/xzwz/
A0000259,,https://tv.sohu.com/s2017/dsjjzkys/
A0000262,,https://tv.sohu.com/s2017/dsjdflrdfws/
A0000265,,https://tv.sohu.com/s2017/wdtyls/
A0000275,,https://tv.sohu.com/s2017/pyghlknwsjb/
A0000280,,https://tv.sohu.com/s2017/dsjaldgh/
A0000281,,https://tv.sohu.com/s2017/dsjwmda/
A0000287,,https://tv.sohu.com/s2017/dsjmy/
A0000288,,https://tv.sohu.com/s2016/tdby2016/
A0000292,,https://tv.sohu.com/s2017/zhdap/
A0000296,,https://tv.sohu.com/s2017/zadhyzpbz/
A0000300,,https://tv.sohu.com/s2018/dsjyzsheng/
A0000301,,https://tv.sohu.com/s2018/dsjygtzjdgt/
A0000304,,https://tv.sohu.com/s2017/ylfhxs/
A0000305,,https://tv.sohu.com/s2018/dsjymdhynh/
A0000306,,https://tv.sohu.com/s2018/ygxdft/
A0000311,,https://tv.sohu.com/s2018/dsjxfzxguan/
A0000312,,https://tv.sohu.com/s2018/dsjxfypf/
A0000326,,https://tv.sohu.com/s2017/dsjwdxy/
A0000329,,https://tv.sohu.com/s2017/wdjfsox/
A0000330,,https://tv.sohu.com/s2018/wdfqwdb/
A0000331,,https://tv.sohu.com/s2017/wdtyls/
A0000333,,https://tv.sohu.com/s2017/dsjwbsjy/
A0000336,,https://tv.sohu.com/s2017/dsjts/
A0000337,,https://tv.sohu.com/s2018/dsjtjztj/
A0000339,,https://tv.sohu.com/s2018/thtzwjfy/
A0000341,,https://tv.sohu.com/s2018/dsjtynrx/
A0000343,,https://tv.sohu.com/s2017/tpg/
A0000351,,https://tv.sohu.com/s2017/sgjmzqlzy/
A0000353,,https://tv.sohu.com/s2016/rsrrcxj/
A0000363,,https://tv.sohu.com/s2018/dsjnqjd/
A0000366,,https://tv.sohu.com/s2017/nfyqm/
A0000369,,https://tv.sohu.com/s2018/dsjmdfy/
A0000384,,https://tv.sohu.com/s2017/lnh/
A0000389,,https://tv.sohu.com/s2017/dsjjd/
A0000395,,https://tv.sohu.com/s2017/dsjjczjh/
A0000396,,https://tv.sohu.com/s2018/hjdlydy/
A0000399,,https://tv.sohu.com/s2018/hmdct/
A0000401,,https://tv.sohu.com/s2017/dsjhqw/
A0000405,,https://tv.sohu.com/s2016/gzmr/
A0000409,,https://tv.sohu.com/s2018/dsjgfzadsd/
A0000411,,https://tv.sohu.com/s2017/dsjfy/
A0000413,,https://tv.sohu.com/s2014/fengzheng/
A0000414,,https://tv.sohu.com/s2018/dsjfgdj/
A0000415,,https://tv.sohu.com/s2017/fyqm2zqdf/
A0000417,,https://tv.sohu.com/s2017/dgtx/
A0000418,,https://tv.sohu.com/s2017/dsjdwxlra/
A0000419,,https://tv.sohu.com/s2017/dsjdfp/
A0000421,,https://tv.sohu.com/s2018/dsjdfxdtis/
A0000426,,http://tv.sohu.com/s2018/dsjchuhun/
A0000427,,https://tv.sohu.com/s2017/dsjcjxlz2/
A0000456,,https://tv.sohu.com/s2018/slzl/
A0000457,,http://tv.sohu.com/s2018/wmdqqg/
A0000458,,http://tv.sohu.com/s2018/dsjthyjxcf/
A0000460,,http://tv.sohu.com/s2016/kffcq/
A0000462,,http://tv.sohu.com/s2018/hyyxj/
A0000463,,http://tv.sohu.com/s2018/dsjxrtx/
A0000466,,http://tv.sohu.com/s2018/dsjmhex/
A0000470,,http://tv.sohu.com/s2018/dsjssnnshishih/
B0000046,,http://tv.sohu.com/s2013/balala/
B0000114,,http://tv.sohu.com/s2014/kjyszytls/
B0000309,,http://tv.sohu.com/s2011/zhuibu/
C0000009,,http://tv.sohu.com/s2010/bllxmx/
C0000012,,http://tv.sohu.com/s2010/kaijiays/
C0000021,,http://tv.sohu.com/s2010/xiaopihai/
C0000027,,http://tv.sohu.com/s2014/kuiba1dh/
C0000029,,https://tv.sohu.com/s2017/dhptxgg1/
C0000030,,http://tv.sohu.com/s2014/tianxingg2/
C0000031,,http://tv.sohu.com/s2010/guobaotg/
C0000032,,http://tv.sohu.com/s2012/gbtg2/
C0000034,,http://tv.sohu.com/s2014/dhpau/
C0000035,,http://tv.sohu.com/s2014/dhptdx/
C0000046,,https://tv.sohu.com/s2013/lxhzj/
C0000052,,http://tv.sohu.com/s2013/seh/
C0000055,,https://tv.sohu.com/s2018/dhplbyy/
C0000056,,https://tv.sohu.com/s2010/lbyyd2j/
C0000057,,https://tv.sohu.com/s2017/dhplbyy3/
C0000058,,https://tv.sohu.com/s2017/dholbyy4/
C0000072,,https://tv.sohu.com/s2014/txbeg/
C0000074,,http://tv.sohu.com/s2013/csxy1/
C0000075,,http://tv.sohu.com/s2013/shixiong/
C0000081,,http://tv.sohu.com/s2015/dhpjlmyll/
C0000082,,http://tv.sohu.com/s2018/dhpnmhxhj/
C0000084,,http://tv.sohu.com/s2018/dhpxialan3/
C0000085,,http://tv.sohu.com/s2018/dhpxl4/
C0000086,,http://tv.sohu.com/s2013/ssjg2/
C0000087,,http://tv.sohu.com/s2014/auzkxtn/
C0000088,,http://tv.sohu.com/s2014/auzbxxy/
C0000089,,http://tv.sohu.com/s2014/dhpau4/
C0000094,,http://tv.sohu.com/s2013/csyx/
C0000095,,http://tv.sohu.com/s2013/swbm/
C0000099,,http://tv.sohu.com/s2013/sehd2/
C0000108,,http://tv.sohu.com/s2014/lsd/
C0000111,,http://tv.sohu.com/s2014/dzs1/
C0000113,,http://tv.sohu.com/s2014/dhpshs/
C0000115,,http://tv.sohu.com/s2013/almzd/
C0000120,,http://tv.sohu.com/s2014/zqmhtl/
C0000127,,http://tv.sohu.com/s2015/zgjqxsdhp/
C0000129,,http://tv.sohu.com/s2014/wpys/
C0000130,,http://tv.sohu.com/s2014/glgl/
C0000131,,http://tv.sohu.com/s2014/qhll/index.shtml
C0000132,,http://tv.sohu.com/s2014/xialan5/
C0000134,,http://tv.sohu.com/s2014/dhpcaez/
C0000135,,http://tv.sohu.com/s2014/dhpduannao/
C0000137,,http://tv.sohu.com/s2014/dhphlsnw5/
C0000138,,http://tv.sohu.com/s2014/zlbb/
C0000139,,http://tv.sohu.com/s2017/cznzuqiu/
C0000140,,http://tv.sohu.com/s2014/zyhs/
C0000146,,http://tv.sohu.com/s2014/bdyhy/
C0000148,,http://tv.sohu.com/s2014/csxys2/
C0000150,,http://tv.sohu.com/s2013/bbs/
C0000151,,http://tv.sohu.com/s2013/sgf/
