产品编号,产品名称,淘票票ID
B0000001,西游降魔篇,3262
B0000002,逃出生天,5512
B0000003,致我们终将逝去的青春,3540
B0000004,私人订制,4575
B0000005,狄仁杰之神都龙王,4573
B0000006,中国合伙人,3521
B0000007,警察故事2013,4202
B0000008,北京遇上西雅图,513667
B0000009,小时代,36686
B0000010,风暴,6196
B0000011,天机·富春山居图,2920
B0000012,小时代2青木时代,5055
B0000013,不二神探,3814
B0000014,厨子戏子痞子,3279
B0000015,无人区,6221
B0000016,扫毒,6885
B0000017,盲探,3768
B0000018,101次求婚,3247
B0000019,分手合约,3553
B0000020,全民目击,4693
B0000021,四大名捕2,6168
B0000022,一夜惊喜,4227
B0000023,听见下雨的声音,317707
B0000024,特殊身份,6161
B0000025,快乐大本营之快乐到家,
B0000026,被偷走的那五年,4199
B0000027,毒战,3280
B0000028,非常幸运,4571
B0000029,喜羊羊与灰太狼之喜气羊羊过蛇年,3189
B0000030,天台爱情,3369
B0000031,激战,4213
B0000032,大明猩,3883
B0000033,我想和你好好的,5429
B0000034,笔仙2,4823
B0000035,等风来,6892
B0000036,赛尔号大电影3之战神联盟,4342
B0000037,我爱灰太狼2,5102
B0000038,笑功震武林,3545
B0000039,洛克王国2圣龙的心愿,342902
B0000040,摩登年代,5128
B0000041,忠烈杨家将,3463
B0000042,周恩来的四个昼夜,5283
B0000043,百星酒店,3445
B0000044,潜艇总动员3彩虹宝藏,3817
B0000045,宫锁沉香,3744
B0000046,巴啦啦小魔仙,7864
B0000047,神奇,2772
B0000048,控制,4574
B0000049,开心超人,4207
B0000050,白狐,5000
B0000051,青春派,4977
B0000052,我爱的是你爱我,6447
B0000053,越来越好之村晚,3430
B0000054,超级经纪人,4939
B0000055,太极侠,4212
B0000056,魁拔之大战元泱界,3468
B0000057,圣诞玫瑰,3461
B0000058,一场风花雪月的事,2857
B0000059,同谋,3194
B0000060,逆光飞翔,4214
B0000061,西游记之大闹天宫,6194
B0000062,智取威虎山,967
B0000063,爸爸去哪儿,7409
B0000064,分手大师,6961
B0000065,后会无期,9921
B0000066,匆匆那年,12129
B0000067,澳门风云,7364
B0000068,小时代3刺金时代,7360
B0000069,一步之遥,7027
B0000070,同桌的你,
B0000071,京城81号,7368
B0000072,北京爱情故事,5354
B0000073,白发魔女传之明月天国,3578
B0000074,亲爱的,9356
B0000075,窃听风云3,7376
B0000076,归来,5856
B0000077,微爱之渐入佳境,12114
B0000078,催眠大师,8293
B0000079,熊出没之夺宝熊兵,7031
B0000080,撒娇女人最好命,9924
B0000081,一生一世,7351
B0000082,老男孩之猛龙过江,7425
B0000083,闺蜜,9353
B0000084,痞子英雄2：黎明升起,10812
B0000085,单身男女2,12118
B0000086,太平轮（上）,7030
B0000087,四大名捕大结局,9329
B0000088,黄飞鸿之英雄有梦,12100
B0000089,我的早更女友,12107
B0000090,冰封：重生之门,7438
B0000091,前任攻略,7366
B0000092,十万个冷笑话,12103
B0000093,一个人的武林,5451
B0000094,魔警,8819
B0000095,白日焰火,8289
B0000096,临时同居,10480
B0000097,反贪风暴,9343
B0000098,绣春刀,10486
B0000099,喜羊羊与灰太狼之飞马奇遇记,7393
B0000100,整容日记,8284
B0000101,六福喜事,7436
B0000102,神笔马良,9925
B0000103,龙之谷：破晓奇兵,8287
B0000104,救火英雄,6086
