产品编号,产品名称,爱奇艺链接
A0000001,,http://www.iqiyi.com/a_19rrift3bg.html
A0000002,,http://www.iqiyi.com/a_19rrgj9kvh.html
A0000003,,http://www.iqiyi.com/a_19rrjs2php.html
A0000007,,http://www.iqiyi.com/a_19rrifssl2.html
A0000012,,http://www.iqiyi.com/a_19rrgic1nd.html
A0000013,,https://www.iqiyi.com/a_19rrgxgg0d.html
A0000016,,http://www.iqiyi.com/a_19rrh9ouv1.html
A0000017,,http://www.iqiyi.com/a_19rrjw3v0p.html
A0000019,,http://www.iqiyi.com/a_19rrgjdp51.html
A0000021,,http://www.iqiyi.com/a_19rrju4egp.html
A0000022,,http://www.iqiyi.com/a_19rrgjbgx1.html
A0000023,,http://www.iqiyi.com/a_19rrg4psih.html
A0000030,,http://www.iqiyi.com/a_19rrifssk5.html
A0000032,,http://www.iqiyi.com/a_19rrifssgr.html
A0000033,,http://www.iqiyi.com/a_19rrg5m185.html
A0000038,,http://www.iqiyi.com/a_19rriftry8.html
A0000040,,http://www.iqiyi.com/a_19rrgj9tnt.html
A0000044,,http://www.iqiyi.com/a_19rrgjaki9.html?vfm=m_294_wgtv
A0000046,,https://www.iqiyi.com/a_19rrh6pqj1.html
A0000050,,http://www.iqiyi.com/a_19rrjwf6nl.html
A0000051,,http://www.iqiyi.com/a_19rrgc7bd1.html
A0000052,,http://www.iqiyi.com/a_19rrjte7q1.html
A0000055,,http://www.iqiyi.com/a_19rrjqvfr1.html
A0000056,,http://www.iqiyi.com/a_19rrgjdj1l.html
A0000057,,http://www.iqiyi.com/a_19rrgjdr0t.html
A0000063,,http://www.iqiyi.com/a_19rrifrm2n.html
A0000064,,http://www.iqiyi.com/a_19rrhc183h.html
A0000068,,http://www.iqiyi.com/a_19rrgi8d91.html
A0000070,,http://www.iqiyi.com/a_19rrgie1z9.html
A0000074,,http://www.iqiyi.com/a_19rrgib1rx.html
A0000080,,http://www.iqiyi.com/a_19rrgifoc1.html
A0000083,,http://www.iqiyi.com/a_19rrgid0eh.html
A0000086,,http://www.iqiyi.com/a_19rrgi6crx.html
A0000087,,http://www.iqiyi.com/a_19rrhc0njp.html
A0000091,,http://www.iqiyi.com/a_19rrgiaoxx.html&tn=corty_1_dg
A0000092,,http://www.iqiyi.com/a_19rrgjdlgd.html
A0000093,,http://www.iqiyi.com/a_19rrhc2myd.html
A0000094,,http://www.iqiyi.com/a_19rrgiepdh.html
A0000096,,http://www.iqiyi.com/a_19rrhbzeyt.html#vfrm=2-4-0-1
A0000097,,http://www.iqiyi.com/a_19rrhc2olt.html
A0000098,,http://www.iqiyi.com/a_19rrhbvx9h.html
A0000099,,http://www.iqiyi.com/a_19rrhc1smx.html
A0000101,,http://www.iqiyi.com/a_19rrginmp9.html
A0000103,,http://www.iqiyi.com/a_19rrhc1sr9.html
A0000106,,http://www.iqiyi.com/a_19rrgibvnl.html
A0000107,,http://www.iqiyi.com/a_19rrgjbvap.html
A0000109,,http://www.iqiyi.com/a_19rrhc1a31.html
A0000112,,http://www.iqiyi.com/a_19rrhc26rt.html
A0000114,,http://www.iqiyi.com/a_19rrhc3bpx.html?vfm=2008_aldbd
A0000117,,http://www.iqiyi.com/a_19rrgjck65.html
A0000120,,http://www.iqiyi.com/a_19rrhbzn9t.html
A0000122,,http://www.iqiyi.com/a_19rrhc0u75.html
A0000123,,http://www.iqiyi.com/a_19rrhc3wk1.html
A0000124,,http://www.iqiyi.com/a_19rrhawpl5.html
A0000128,,http://www.iqiyi.com/a_19rrhbyt65.html
A0000129,,http://www.iqiyi.com/a_19rrhc1zfx.html
A0000131,,http://www.iqiyi.com/a_19rrhaxnrh.html
A0000133,,http://www.iqiyi.com/a_19rrhb27kd.html
A0000134,,http://www.iqiyi.com/a_19rrhaxnhl.html
A0000136,,http://www.iqiyi.com/a_19rrhbf5th.html
A0000137,,http://www.iqiyi.com/a_19rrhc3oc9.html
A0000141,,http://www.iqiyi.com/a_19rrgip3zd.html
A0000142,,http://www.iqiyi.com/a_19rrhbc69d.html
A0000144,,http://www.iqiyi.com/a_19rrhc1u0t.html
A0000147,,http://www.iqiyi.com/a_19rrhbze5h.html/
A0000148,,http://www.iqiyi.com/a_19rrhaxjhl.html
A0000150,,http://www.iqiyi.com/a_19rrhaxnc1.html
A0000151,,http://www.iqiyi.com/a_19rrhb4zoh.html
A0000154,,http://www.iqiyi.com/a_19rrhbep1h.html
A0000155,,http://www.iqiyi.com/a_19rrifssk3.html
A0000156,,http://www.iqiyi.com/a_19rrhbc5yl.html
A0000158,,http://www.iqiyi.com/a_19rrhayysl.html
A0000159,,http://www.iqiyi.com/a_19rrhc1qo9.html
A0000161,,http://www.iqiyi.com/a_19rrhb6mt1.html
A0000162,,http://www.iqiyi.com/a_19rrhacp0p.html
A0000163,,http://www.iqiyi.com/a_19rrhbdszd.html
A0000165,,http://www.iqiyi.com/a_19rrhc1wep.html
A0000166,,http://www.iqiyi.com/a_19rrhb0om5.html
A0000167,,http://www.iqiyi.com/a_19rrhavrp9.html
A0000170,,http://www.iqiyi.com/a_19rrhb8e4t.html
A0000171,,http://www.iqiyi.com/a_19rrhb0xzp.html
A0000172,,http://www.iqiyi.com/a_19rrhb6mfh.html
A0000174,,https://www.iqiyi.com/v_19rroe6rkc.html?vfm=2008_aldbd
A0000178,,http://www.iqiyi.com/a_19rrhb0y75.html
A0000179,,http://www.iqiyi.com/a_19rrhaxj4x.html
A0000183,,http://www.iqiyi.com/a_19rrhagj55.html
A0000186,,http://www.iqiyi.com/a_19rrhbd6ad.html
A0000188,,http://www.iqiyi.com/a_19rrhal3fp.html
A0000192,,http://www.iqiyi.com/a_19rrhbeaxt.html
A0000193,,http://www.iqiyi.com/a_19rrhbapjx.html
A0000194,,http://www.iqiyi.com/a_19rrhbft05.html
A0000196,,http://www.iqiyi.com/a_19rrhbgtnx.html
A0000197,,http://www.iqiyi.com/a_19rrhc496p.html
A0000198,,http://www.iqiyi.com/a_19rrhbbh01.html
A0000200,,http://www.iqiyi.com/a_19rrhbd4i9.html
A0000201,,http://www.iqiyi.com/a_19rrhaltkd.html
A0000202,,http://www.iqiyi.com/a_19rrhbf1gp.html
A0000203,,http://www.iqiyi.com/a_19rrhaccd1.html
A0000204,,http://www.iqiyi.com/a_19rrhaqtp1.html
A0000205,,http://www.iqiyi.com/a_19rrhb2oed.html
A0000206,,http://www.iqiyi.com/a_19rrhb8fjp.html
A0000208,,http://www.iqiyi.com/a_19rrh9oonl.html
A0000209,,http://www.iqiyi.com/a_19rrhaqkxp.html
A0000213,,http://www.iqiyi.com/a_19rrhb8d05.html
A0000214,,http://www.iqiyi.com/a_19rrhb9aux.html
A0000218,,http://www.iqiyi.com/a_19rrha469h.html
A0000225,,http://www.iqiyi.com/a_19rrhb0ppp.html
A0000226,,http://www.iqiyi.com/a_19rrhaniyh.html
A0000227,,http://www.iqiyi.com/a_19rrhb0red.html
A0000228,,http://www.iqiyi.com/a_19rrhaj5bt.html
A0000231,,http://www.iqiyi.com/lib/m_208673014.html
A0000233,,http://www.iqiyi.com/a_19rrhbbked.html
A0000236,,http://www.iqiyi.com/a_19rrhagil1.html
A0000239,,http://www.iqiyi.com/a_19rrhbevjp.html
A0000240,,http://www.iqiyi.com/a_19rrhbelit.html
A0000241,,http://www.iqiyi.com/a_19rrhbc1fh.html
A0000242,,http://www.iqiyi.com/a_19rrharlvd.html
A0000243,,http://www.iqiyi.com/a_19rrhalt31.html
A0000244,,http://www.iqiyi.com/a_19rrh9fkap.html
A0000245,,http://www.iqiyi.com/a_19rrhau0yl.html
A0000246,,http://www.iqiyi.com/a_19rrh9xr35.html
A0000247,,http://www.iqiyi.com/lib/m_208194614.html?src=search
A0000249,,http://www.iqiyi.com/a_19rrha7kjt.html
A0000251,,http://www.iqiyi.com/a_19rrha7zf5.html
A0000253,,http://www.iqiyi.com/a_19rrha6h6t.html
A0000254,,http://www.iqiyi.com/a_19rrh91ifx.html
A0000255,,http://www.iqiyi.com/a_19rrhau8s1.html
A0000256,,http://www.iqiyi.com/a_19rrh9zcud.html
A0000257,,https://www.iqiyi.com/a_19rrhbfso5.html
A0000258,,http://www.iqiyi.com/a_19rrh9z9yp.html
A0000259,,http://www.iqiyi.com/a_19rrh91y9l.html
A0000261,,http://www.iqiyi.com/a_19rrhf5snx.html
A0000262,,http://www.iqiyi.com/a_19rrha36e1.html
A0000265,,http://www.iqiyi.com/a_19rrh9zdip.html
A0000267,,http://www.iqiyi.com/a_19rrhana69.html
A0000268,,http://www.iqiyi.com/a_19rrh9tjkt.html
A0000271,,http://www.iqiyi.com/a_19rrhab8et.html
A0000273,,http://www.iqiyi.com/a_19rrh990gh.html
A0000274,,http://www.iqiyi.com/a_19rrhdlced.html
A0000275,,http://www.iqiyi.com/a_19rrh9ioxp.html
A0000278,,http://www.iqiyi.com/a_19rrhatc1p.html
A0000279,,http://www.iqiyi.com/a_19rrha6bcl.html
A0000280,,http://www.iqiyi.com/a_19rrh957dh.html
A0000281,,http://www.iqiyi.com/a_19rrhahba9.html
A0000282,,http://www.iqiyi.com/a_19rrhc2kzt.html
A0000283,,http://www.iqiyi.com/a_19rrhetldh.html
A0000286,,http://www.iqiyi.com/a_19rrh96n1d.html
A0000287,,http://www.iqiyi.com/a_19rrha6gph.html
A0000288,,http://www.iqiyi.com/a_19rrha1yct.html
A0000289,,http://www.iqiyi.com/a_19rrh8daad.html
A0000290,,http://www.iqiyi.com/a_19rrh9v3ct.html
A0000292,,http://www.iqiyi.com/lib/m_212911214.html?src=search
A0000293,,https://www.iqiyi.com/a_19rrh6k7yd.html
A0000294,,http://www.iqiyi.com/a_19rrh9gfq9.html
A0000296,,http://www.iqiyi.com/lib/m_212395014.html?src=search
A0000297,,https://www.iqiyi.com/a_19rrhd232d.html
A0000298,,http://www.iqiyi.com/lib/m_216238014.html?src=search
A0000300,,https://www.iqiyi.com/a_19rrgz3lm5.html
A0000301,,https://www.iqiyi.com/a_19rrh7vjr1.html
A0000302,,http://www.iqiyi.com/lib/m_215646414.html?src=search
A0000304,,http://www.iqiyi.com/lib/m_216645814.html?src=search
A0000305,,https://www.iqiyi.com/a_19rrh77zgl.html
A0000306,,https://www.iqiyi.com/a_19rrgytd51.html
A0000308,,http://www.iqiyi.com/lib/m_214606014.html?src=search
A0000309,,https://www.iqiyi.com/a_19rrha4rz5.html
A0000310,,http://www.iqiyi.com/a_19rrh0ktot.html
A0000311,,https://www.iqiyi.com/a_19rrh21zo5.html
A0000312,,https://www.iqiyi.com/a_19rrgzuhbh.html
A0000314,,https://www.iqiyi.com/a_19rrgznmid.html
A0000317,,http://www.iqiyi.com/a_19rrh1fkc5.html
A0000318,,https://www.iqiyi.com/a_19rrgy6s3x.html
A0000319,,https://www.iqiyi.com/a_19rrgxm865.html
A0000326,,http://www.iqiyi.com/a_19rrh1jhj9.html
A0000327,,http://www.iqiyi.com/lib/m_216488414.html?src=search
A0000329,,http://www.iqiyi.com/a_19rrh1eal1.html
A0000330,,https://www.iqiyi.com/a_19rrhe7hfh.html
A0000331,,http://www.iqiyi.com/a_19rrh9zdip.html
A0000333,,http://www.iqiyi.com/a_19rrhd2yi5.html
A0000335,,http://www.iqiyi.com/lib/m_212547714.html?src=search
A0000336,,http://www.iqiyi.com/lib/m_214616014.html?src=search
A0000337,,https://www.iqiyi.com/a_19rrhdhq7h.html
A0000338,,https://www.iqiyi.com/a_19rrh8fi4d.html
A0000339,,https://www.iqiyi.com/a_19rrhdho9h.html
A0000341,,https://www.iqiyi.com/a_19rrhfnusl.html
A0000343,,http://www.iqiyi.com/lib/m_214079614.html?src=search
A0000344,,http://www.iqiyi.com/a_19rrh049ol.html
A0000346,,http://www.iqiyi.com/lib/m_216557614.html?src=search
A0000347,,http://www.iqiyi.com/a_19rrgy6rc5.html?vfm=2008_aldbd
A0000348,,https://www.iqiyi.com/a_19rrgzseul.html
A0000349,,http://www.iqiyi.com/a_19rrhakmkd.html
A0000352,,http://www.iqiyi.com/lib/m_214716614.html?src=search
A0000354,,https://www.iqiyi.com/a_19rrh9ocxh.html
A0000355,,https://www.iqiyi.com/a_19rrhcephp.html
A0000357,,http://www.iqiyi.com/a_19rrh0z8gd.html
