产品编号,产品名称,猫眼ID
B0000001,西游降魔篇,78003
B0000002,逃出生天,78254
B0000003,致我们终将逝去的青春,78059
B0000004,私人订制,78226
B0000005,狄仁杰之神都龙王,78198
B0000006,中国合伙人,78068
B0000007,警察故事2013,77192
B0000008,北京遇上西雅图,78041
B0000009,小时代,78051
B0000010,风暴,78418
B0000011,天机·富春山居图,892
B0000012,小时代2青木时代,78203
B0000013,不二神探,78135
B0000014,厨子戏子痞子,969
B0000015,无人区,78448
B0000016,扫毒,78261
B0000017,盲探,78113
B0000018,101次求婚,78010
B0000019,分手合约,78089
B0000020,全民目击,78171
B0000021,四大名捕2,74993
B0000022,一夜惊喜,78182
B0000023,听见下雨的声音,78383
B0000024,特殊身份,78217
B0000025,快乐大本营之快乐到家,78032
B0000026,被偷走的那五年,78183
B0000027,毒战,78082
B0000028,非常幸运,78044
B0000029,喜羊羊与灰太狼之喜气羊羊过蛇年,78024
B0000030,天台爱情,78097
B0000031,激战,78199
B0000032,大明猩,78169
B0000033,我想和你好好的,78332
B0000034,笔仙2,78180
B0000035,等风来,78276
B0000036,赛尔号大电影3之战神联盟,78187
B0000037,我爱灰太狼2,78186
B0000038,笑功震武林,78072
B0000039,洛克王国2圣龙的心愿,78033
B0000040,摩登年代,78233
B0000041,忠烈杨家将,826
B0000042,周恩来的四个昼夜,78269
B0000043,百星酒店,78049
B0000044,潜艇总动员3彩虹宝藏,78127
B0000045,宫锁沉香,78176
B0000046,巴啦啦小魔仙,78042
B0000047,神奇,78209
B0000048,控制,78296
B0000049,开心超人,78136
B0000050,白狐,78249
B0000051,青春派,78196
B0000052,我爱的是你爱我,78345
B0000053,越来越好之村晚,78037
B0000054,超级经纪人,78215
B0000055,太极侠,78118
B0000056,魁拔之大战元泱界,246185
B0000057,圣诞玫瑰,78111
B0000058,一场风花雪月的事,78001
B0000059,同谋,982
B0000060,逆光飞翔,75115
B0000061,西游记之大闹天宫,589
B0000062,智取威虎山,78631
B0000063,爸爸去哪儿,78621
B0000064,分手大师,78554
B0000065,后会无期,78697
B0000066,匆匆那年,245980
B0000067,澳门风云,78283
B0000068,小时代3刺金时代,78487
B0000069,一步之遥,78222
B0000070,同桌的你,78653
B0000071,京城81号,78267
B0000072,北京爱情故事,78324
B0000073,白发魔女传之明月天国,78268
B0000074,亲爱的,78910
