产品id,产品名称,APP_STORE_ID
F0000001,,1219149773
F0000002,,1377553896
F0000003,,585157092
F0000004,,1395299852
F0000005,,1352868922
F0000006,,593369632
F0000007,,1299638865
F0000008,,538640684
F0000009,,1388822559
F0000010,,1358231966
F0000011,,615148521
F0000012,,1210025272
F0000013,,533744303
F0000014,,1190085864
F0000015,,579853996
F0000017,,1419520909
F0000019,,874207897
F0000020,,1324857286
F0000021,,1422287458
F0000022,,1144395230
F0000023,,897447840
F0000024,,897447840
F0000025,,1054401965
F0000026,,681769223
F0000028,,650778269
F0000029,,854373952
F0000030,,773008670
F0000031,,1424087913
F0000032,,689856926
F0000033,,1374113530
F0000034,,1143994978
F0000035,,668317926
F0000036,,1385559642
F0000037,,1260502981
F0000038,,1223920006
F0000039,,1374113530
F0000040,,987733640
F0000041,,982428268
F0000042,,1352854409
F0000043,,1268530194
F0000044,,1143802342
F0000045,,700584141
F0000046,,897447840
F0000047,,765508525
F0000048,,1393956862
F0000049,,1355277103
F0000050,,1330377652
F0000051,,737651307
F0000052,,1332964693
F0000053,,1374113530
F0000054,,1352848708
F0000057,,1118752205
F0000058,,1324413665
F0000059,,1116476940
F0000060,,1232577217
F0000061,,897447840
F0000062,,1419520909
F0000063,,1033387365
F0000064,,1253852257
F0000065,,1367050404
F0000066,,1217704029
F0000067,,1389238856
F0000068,,1359593119
F0000070,,1374113530
F0000071,,867465887
F0000072,,850417475
F0000073,,1119082248
F0000074,,1299073121
F0000075,,989675616
F0000076,,987330925
F0000077,,824104400
F0000078,,1318621533
F0000079,,1290725530
F0000080,,837545884
F0000081,,1387754064
F0000082,,1414837902
F0000083,,944574195
F0000084,,1252534381
F0000085,,1217352027
F0000086,,1228987463
F0000087,,1235504705
F0000088,,1404799941
F0000089,,1338653852
F0000090,,954751394
F0000092,,1011682252
F0000093,,992803939
F0000094,,940547441
F0000095,,1361895578
F0000096,,483330461
F0000097,,1115094327
F0000098,,1015364140
F0000099,,1102665026
F0000100,,1387754064
F0000101,,989673964
F0000102,,824713678
F0000103,,989080154
F0000104,,1373134525
F0000105,,1119082248
F0000106,,1175280731
F0000107,,1072670055
F0000108,,1332991624
F0000109,,1187070266
F0000110,,1411962454
F0000111,,1079710385
F0000112,,1042545880
F0000113,,955396648
F0000114,,1044549633
F0000115,,1413057276
F0000116,,1031897589
F0000117,,1053759310
F0000118,,1130333770
F0000119,,1324413665
F0000120,,1033387365
F0000121,,1210025272
F0000122,,1284117669
F0000123,,1001855348
F0000124,,1255425105
F0000125,,1357522875
F0000126,,1369687465
F0000127,,1114765349
F0000128,,1112044292
F0000129,,1409541457
F0000130,,1019160422
F0000131,,1120536875
F0000132,,1121494585
F0000133,,1061051095
F0000134,,1428456541
F0000135,,895670960
F0000136,,1237447549
F0000137,,1361497816
F0000138,,1107529276
F0000139,,1271620263
F0000140,,1428456541
F0000141,,1107529276
F0000142,,1428456541
F0000143,,1156084215
F0000144,,897447840
F0000145,,1342141641
F0000146,,1222221342
F0000147,,1098075090
F0000148,,1071801856
F0000149,,773008670
F0000150,,1374113530
F0000151,,1374113530
F0000152,,1124781538
F0000153,,1112094262
F0000154,,1409541457
F0000155,,1163663148
F0000156,,1397285753
F0000157,,1286606224
F0000158,,1166789426
F0000159,,1154017641
F0000160,,897447840
F0000161,,1160136369
F0000162,,1132257692
F0000163,,1170457573
F0000164,,1375418324
F0000165,,1187834455
F0000166,,1374113530
F0000167,,1402479489
F0000168,,1212234893
F0000169,,1374113530
F0000170,,1217754940
F0000171,,1297901374
F0000172,,1260520961
F0000173,,1271691328
F0000174,,1373166656
F0000175,,1232104244
F0000176,,1355277103
F0000177,,1328202078
F0000178,,1308215612
F0000179,,1313664051
F0000180,,1235504705
F0000181,,1339511397
F0000182,,1314746689
F0000234,,1354764539
F0000235,,1183708679
F0000236,,1332930412
F0000237,,1184159988
F0000238,,1219891343
F0000239,,1236042661
F0000240,,971513085
F0000241,,1099088440
F0000242,,1138725547
F0000243,,1166486511
F0000244,,506655146
F0000245,,1326730621
F0000246,,1251807281
F0000247,,1236120742
F0000248,,1352687303
F0000249,,1316365564
F0000250,,1246164852
F0000251,,1198096692
F0000252,,1090828242
F0000253,,1316322292
F0000254,,1321269886
F0000255,,1291152070
F0000256,,1381385225
F0000257,,1319155964
F0000258,,1273140357
F0000259,,1356459927
F0000260,,1251389299
F0000261,,1117273600
F0000262,,1170457573
F0000263,,
F0000264,途游斗地主（手游）,1255739625
F0000265,开心跳一跳（手游）,1386549387
F0000266,王牌战争（手游）,1338486748
F0000267,联众天天斗地主（手游）,462737588
F0000268,中国象棋-cnvcs（手游）,504275369
F0000269,逃跑吧！少年（手游）,1409592512
F0000270,开心斗（手游）,1410074463
F0000271,同桌游戏（手游）,1057866090
F0000272,一跳到底（手游）,1406778905
F0000273,疯狂的球球2（手游）,1436389293
F0000274,叶罗丽精灵梦（手游）,1266129086
F0000275,波克棋牌（手游）,434811130
F0000276,神都夜行录（手游）,1420331309
F0000277,初音未来：梦幻歌姬（手游）,1248819287
F0000278,全民冠军足球（手游）,1365397748
F0000279,斗破苍穹：斗帝之路（手游）,1330149230
F0000280,神武3（手游）,1282917929
F0000281,太吾绘卷（端游）,
F0000282,中国式家长（端游）,
F0000283,六月斗地主（手游）,
F0000284,联众斗地主（手游）,462737588
F0000285,疯狂的球球（手游）,
F0000286,红警OL（手游）,1234954076
F0000287,航海王：燃烧意志（手游）,1434047150
F0000288,走出去：归途24小时（手游）,
F0000289,一零计划（手游）,1405540130
F0000290,买房记（手游）,919107645
F0000291,还有这种操作2（手游）,1271709615
F0000292,长生劫（手游）,1212186578
F0000293,河洛群侠传（端游）,
F0000294,汉家江湖（手游）,1225150933
F0000295,全职旅团（手游）,1433363660
F0000296,新诛仙（手游）,1088753863
F0000297,放置江湖（手游）,1109674878
F0000298,阿瑞斯病毒（手游）,1405541128
F0000299,妖怪正传（手游）,1277566510
F0000300,方舟指令（手游）,1396404468
F0000301,超进化物语（手游）,1256404497
F0000302,will：美好世界（端游）,
F0000303,单机麻将-西安同启通讯（手游）,738881888
F0000304,中国象棋-LemonChess（手游）,1089445559
F0000305,博雅中国象棋（手游）,1279698619
F0000306,多乐保皇（手游）,788406144
F0000307,明日之后（手游）,1435567000
F0000308,时之歌（手游）,1300140052
F0000309,轩辕剑online（手游）,1423137528
F0000310,战舰世界：闪击战（手游）,1433358456
F0000311,火影忍者OL（手游）,1369855098
F0000312,光明勇士（手游）,1437737337
F0000313,求生之战（手游）,1423493573
F0000314,九黎（手游）,1227368230
F0000315,永远的7日之都（手游）,1141273107
F0000316,大中华食堂（手游）,1254344693
F0000317,末日远征（手游）,
F0000318,古剑奇谭3（端游）,
