编号,产品名称,NGA
F0000001,滑雪大冒险(手游),
F0000002,JJ斗地主(手游),
F0000003,龙印OL(手游),
F0000004,找你妹(手游),
F0000005,保卫萝卜1(手游),
F0000006,时空猎人(手游),
F0000007,欢乐四川麻将(手游),
F0000008,大掌门(手游),
F0000009,商业人生(手游),
F0000010,三国争霸-龙将(手游),
F0000011,武林萌主(手游),
F0000012,王者之剑(手游),
F0000013,逆转三国(手游),
F0000014,博雅斗地主(手游),
F0000015,风云天下OL(手游),
F0000016,弹弹岛Online(手游),
F0000017,萌江湖(手游),
F0000018,圣域龙斗士：全民战争(手游),
F0000019,我叫MT online(手游),
F0000020,小小帝国(手游),
F0000021,一将成名(手游),
F0000022,开心水族箱(手游),
F0000023,天天爱消除(手游),
F0000024,天天星连萌(手游),
F0000025,节奏大师(手游),
F0000026,疯狂的方言(手游),
F0000027,中国好学霸(手游),
F0000028,一闯到底(手游),
F0000029,飞机大战豪华版(手游),
F0000030,欢乐斗地主(手游),
F0000031,保卫萝卜2(手游),
F0000032,新部落守卫战(手游),
F0000033,天天飞车(手游),
F0000034,史上最坑爹的游戏1(手游),
F0000035,神雕侠侣(手游),
F0000036,武侠Q传(手游),
F0000037,腾讯欢乐麻将全集(手游),
F0000038,全民飞机大战(手游),
F0000039,天天酷跑(手游),
F0000040,天天斗地主(手游),
F0000041,找你妹2(手游),
F0000042,史上最坑爹的游戏2(手游),
F0000043,天天德州(手游),
F0000044,雷霆战机(手游),
F0000045,梦幻西游口袋版(手游),
F0000046,开心消消乐(手游),http://bbs.ngacn.cc/read.php?tid=12063608
F0000047,神魔大陆(手游),
F0000048,全民小镇(手游),
F0000049,迷你西游(手游),
F0000050,江湖格斗(手游),
F0000051,崩坏学园2(手游),http://bbs.ngacn.cc/read.php?tid=12689996
F0000052,全民炫舞(手游),
F0000053,天天炫斗(手游),
F0000054,暗黑战神OL(手游),
F0000055,城堡争霸：遗落之境(手游),
F0000056,足球大逆袭(手游),
F0000057,胜利足球(手游),
F0000058,全民水浒(手游),
F0000059,消灭星星-Popstar官方正版(手游),
F0000060,全民打怪兽(手游),
F0000061,全民农场(手游),
F0000062,欢乐西游(手游),
F0000063,仙剑奇侠传 官方手游(手游),
F0000064,乱斗西游2(手游),
F0000065,女神联盟手游(手游),
F0000066,捕鱼达人3(手游),
F0000067,暖暖环游世界(手游),
F0000068,梅露可物语(手游),
F0000069,小冰冰传奇（原名刀塔传奇）(手游),http://bbs.ngacn.cc/read.php?tid=12757031
F0000070,天天富翁(手游),
F0000071,全民枪战2(手游),
F0000072,糖果传奇(手游),
F0000073,影之刃(手游),
F0000074,全民切水果(手游),
F0000075,魔剑之刃(手游),
F0000076,神雕侠侣移动版(手游),
F0000077,天龙八部3D(手游),
F0000078,神鬼幻想(手游),
F0000079,全民闯天下(手游),
F0000080,全民奇迹MU(手游),
F0000081,全民突击(手游),
F0000082,我叫MT2(手游),
F0000083,航海王 启航(手游),
F0000084,神武2(手游),
F0000085,全民泡泡大战(手游),
F0000086,少年三国志(手游),
F0000087,跑跑卡丁车手机版(手游),
F0000088,奇迹暖暖(手游),
F0000089,脑力达人(手游),
F0000090,猫和老鼠：欢乐互动(手游),
F0000091,九龙战—领地争夺战(手游),
F0000092,花千骨(手游),
F0000093,苍穹变(手游),
F0000094,梦幻西游(手游),http://bbs.ngacn.cc/read.php?tid=11831699
F0000095,热血传奇(手游),
F0000096,英雄杀(手游),
F0000097,天天象棋腾讯版(手游),
F0000098,大话西游(手游),http://bbs.ngacn.cc/read.php?tid=12089058
F0000099,滑雪大冒险2(手游),
F0000100,全民超神(手游),
F0000101,王者荣耀(手游),http://bbs.ngacn.cc/read.php?tid=11828761
F0000102,秦时明月(手游),
F0000103,六龙争霸3D(手游),
F0000104,腾讯桌球(手游),
F0000105,苍翼之刃(手游),
F0000106,驯龙战记3D(手游),
